[ 2013-04-16T10:21:06+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | SQL: SHOW COLUMNS FROM `data_dict` [ RunTime:0.208001s ]
[ 2013-04-16T10:21:06+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | SQL: SELECT fd_value as id,fd_mean as name FROM `data_dict` WHERE tb_name='course' and fd_name='property' ORDER BY seq  [ RunTime:0.208238s ]
[ 2013-04-16T10:21:06+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | SQL: SHOW COLUMNS FROM `data_dict` [ RunTime:0.210051s ]
[ 2013-04-16T10:21:06+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | SQL: SELECT fd_value as id,fd_mean as name FROM `data_dict` WHERE tb_name='course' and fd_name='cou_category' ORDER BY seq  [ RunTime:0.207005s ]
[ 2013-04-16T10:21:06+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | SQL: SHOW COLUMNS FROM `data_dict` [ RunTime:0.208994s ]
[ 2013-04-16T10:21:07+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | SQL: SELECT fd_value as id,fd_mean as name FROM `data_dict` WHERE tb_name='course' and fd_name='cou_type' ORDER BY seq  [ RunTime:0.207242s ]
[ 2013-04-16T10:21:07+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | SQL: SHOW COLUMNS FROM `data_dict` [ RunTime:0.208780s ]
[ 2013-04-16T10:21:07+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | SQL: SELECT fd_value as id,fd_mean as name FROM `data_dict` WHERE tb_name='course' and fd_name='exam_type' ORDER BY seq  [ RunTime:0.206578s ]
[ 2013-04-16T10:21:07+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | INFO: Tag[ view_template ] --START--
[ 2013-04-16T10:21:07+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | INFO: Run LocationTemplate Behavior [ RunTime:0.001595s ]
[ 2013-04-16T10:21:07+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001681s ]
[ 2013-04-16T10:21:07+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | INFO: Tag[ view_parse ] --START--
[ 2013-04-16T10:21:07+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | INFO: Run ParseTemplate Behavior [ RunTime:0.079446s ]
[ 2013-04-16T10:21:07+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.079544s ]
[ 2013-04-16T10:21:07+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | INFO: Tag[ view_filter ] --START--
[ 2013-04-16T10:21:07+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | INFO: Run ContentReplace Behavior [ RunTime:0.001294s ]
[ 2013-04-16T10:21:07+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | INFO: Run TokenBuild Behavior [ RunTime:0.001197s ]
[ 2013-04-16T10:21:07+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000792s ]
[ 2013-04-16T10:21:07+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | INFO: Run ShowRuntime Behavior [ RunTime:0.000957s ]
[ 2013-04-16T10:21:07+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004468s ]
[ 2013-04-16T10:21:07+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | INFO: Tag[ view_end ] --START--
[ 2013-04-16T10:21:07+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | INFO: Run ShowPageTrace Behavior [ RunTime:0.001104s ]
[ 2013-04-16T10:21:07+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | INFO: Tag[ view_end ] --END-- [ RunTime:0.001186s ]
[ 2013-04-16T10:21:06+08:00 ] /xbsdv5/index.php/ThesisTitle/index_jwadmin/category/1/menuid/57 | INFO: Tag[ route_check ] --START--
[ 2013-04-16T10:21:06+08:00 ] /xbsdv5/index.php/ThesisTitle/index_jwadmin/category/1/menuid/57 | INFO: Run CheckRoute Behavior [ RunTime:0.001280s ]
[ 2013-04-16T10:21:06+08:00 ] /xbsdv5/index.php/ThesisTitle/index_jwadmin/category/1/menuid/57 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001376s ]
[ 2013-04-16T10:21:06+08:00 ] /xbsdv5/index.php/ThesisTitle/index_jwadmin/category/1/menuid/57 | INFO: Tag[ app_begin ] --START--
